Date,Open,High,Low,Close,Adj Close,Volume
1997-07-01,798.500000,798.500000,798.500000,798.500000,798.500000,0
1997-07-02,805.299988,805.299988,805.299988,805.299988,805.299988,0
1997-07-03,810.799988,810.799988,810.799988,810.799988,810.799988,0
1997-07-07,828.200012,828.200012,828.200012,828.200012,828.200012,0
1997-07-08,821.400024,821.400024,821.400024,821.400024,821.400024,0
1997-07-09,816.700012,816.700012,816.700012,816.700012,816.700012,0
1997-07-10,820.700012,820.700012,820.700012,820.700012,820.700012,0
1997-07-11,823.400024,823.400024,823.400024,823.400024,823.400024,0
1997-07-14,821.900024,821.900024,821.900024,821.900024,821.900024,0
1997-07-15,null,null,null,null,null,null
1997-07-16,820.000000,820.000000,820.000000,820.000000,820.000000,0
1997-07-17,817.500000,817.500000,817.500000,817.500000,817.500000,0
1997-07-18,null,null,null,null,null,null
1997-07-21,820.599976,820.599976,820.599976,820.599976,820.599976,0
1997-07-22,827.200012,827.200012,827.200012,827.200012,827.200012,0
1997-07-23,829.700012,829.700012,829.700012,829.700012,829.700012,0
1997-07-24,839.320007,839.320007,839.320007,839.320007,839.320007,0
1997-07-25,841.299988,841.299988,841.299988,841.299988,841.299988,0
1997-07-28,844.099976,844.099976,844.099976,844.099976,844.099976,0
1997-07-29,849.299988,849.299988,849.299988,849.299988,849.299988,0
1997-07-30,860.099976,860.099976,860.099976,860.099976,860.099976,0
1997-07-31,869.700012,869.700012,869.700012,869.700012,869.700012,0
1997-08-01,865.799988,865.799988,865.799988,865.799988,865.799988,0
1997-08-04,855.700012,855.700012,855.700012,855.700012,855.700012,0
1997-08-05,862.500000,862.500000,862.500000,862.500000,862.500000,0
1997-08-06,857.140015,857.140015,857.140015,857.140015,857.140015,0
1997-08-07,856.500000,856.500000,856.500000,856.500000,856.500000,0
1997-08-08,850.599976,850.599976,850.599976,850.599976,850.599976,0
1997-08-11,851.799988,851.799988,851.799988,851.799988,851.799988,0
1997-08-12,854.200012,854.200012,854.200012,854.200012,854.200012,0
1997-08-13,850.700012,850.700012,850.700012,850.700012,850.700012,0
1997-08-14,848.900024,848.900024,848.900024,848.900024,848.900024,0
1997-08-15,848.799988,848.799988,848.799988,848.799988,848.799988,0
1997-08-18,null,null,null,null,null,null
1997-08-19,846.200012,846.200012,846.200012,846.200012,846.200012,0
1997-08-20,838.500000,838.500000,838.500000,838.500000,838.500000,0
1997-08-21,832.900024,832.900024,832.900024,832.900024,832.900024,0
1997-08-22,830.400024,830.400024,830.400024,830.400024,830.400024,0
1997-08-25,833.500000,833.500000,833.500000,833.500000,833.500000,0
1997-08-26,840.000000,840.000000,840.000000,840.000000,840.000000,0
1997-08-27,835.000000,835.000000,835.000000,835.000000,835.000000,0
1997-08-28,825.200012,825.200012,825.200012,825.200012,825.200012,0
1997-08-29,814.799988,814.799988,814.799988,814.799988,814.799988,0
1997-09-02,806.799988,806.799988,806.799988,806.799988,806.799988,0
1997-09-03,793.799988,793.799988,793.799988,793.799988,793.799988,0
1997-09-04,791.500000,791.500000,791.500000,791.500000,791.500000,0
1997-09-05,801.599976,801.599976,801.599976,801.599976,801.599976,0
1997-09-08,809.900024,809.900024,809.900024,809.900024,809.900024,0
1997-09-09,802.700012,802.700012,802.700012,802.700012,802.700012,0
1997-09-10,800.700012,800.700012,800.700012,800.700012,800.700012,0
1997-09-11,796.599976,796.599976,796.599976,796.599976,796.599976,0
1997-09-12,792.500000,792.500000,792.500000,792.500000,792.500000,0
1997-09-15,786.099976,786.099976,786.099976,786.099976,786.099976,0
1997-09-16,null,null,null,null,null,null
1997-09-17,776.799988,776.799988,776.799988,776.799988,776.799988,0
1997-09-18,782.599976,782.599976,782.599976,782.599976,782.599976,0
1997-09-19,790.000000,790.000000,790.000000,790.000000,790.000000,0
1997-09-22,793.200012,793.200012,793.200012,793.200012,793.200012,0
1997-09-23,788.799988,788.799988,788.799988,788.799988,788.799988,0
1997-09-24,787.599976,787.599976,787.599976,787.599976,787.599976,0
1997-09-25,782.599976,782.599976,782.599976,782.599976,782.599976,0
1997-09-26,782.599976,782.599976,782.599976,782.599976,782.599976,0
1997-09-29,778.000000,778.000000,778.000000,778.000000,778.000000,0
1997-09-30,779.900024,779.900024,779.900024,779.900024,779.900024,0
1997-10-01,776.599976,776.599976,776.599976,776.599976,776.599976,0
1997-10-02,775.599976,775.599976,775.599976,775.599976,775.599976,0
1997-10-03,777.700012,777.700012,777.700012,777.700012,777.700012,0
1997-10-06,777.000000,777.000000,777.000000,777.000000,777.000000,0
1997-10-07,780.700012,780.700012,780.700012,780.700012,780.700012,0
1997-10-08,781.000000,781.000000,781.000000,781.000000,781.000000,0
1997-10-09,783.200012,783.200012,783.200012,783.200012,783.200012,0
1997-10-10,785.400024,785.400024,785.400024,785.400024,785.400024,0
1997-10-13,786.500000,786.500000,786.500000,786.500000,786.500000,0
1997-10-14,790.400024,790.400024,790.400024,790.400024,790.400024,0
1997-10-15,null,null,null,null,null,null
1997-10-16,775.630005,775.630005,775.630005,775.630005,775.630005,0
1997-10-17,771.599976,771.599976,771.599976,771.599976,771.599976,0
1997-10-20,769.200012,769.200012,769.200012,769.200012,769.200012,0
1997-10-21,769.700012,769.700012,769.700012,769.700012,769.700012,0
1997-10-22,768.599976,768.599976,768.599976,768.599976,768.599976,0
1997-10-23,766.700012,766.700012,766.700012,766.700012,766.700012,0
1997-10-24,760.099976,760.099976,760.099976,760.099976,760.099976,0
1997-10-27,758.599976,758.599976,758.599976,758.599976,758.599976,0
1997-10-28,739.900024,739.900024,739.900024,739.900024,739.900024,0
1997-10-29,733.099976,733.099976,733.099976,733.099976,733.099976,0
1997-10-30,734.000000,734.000000,734.000000,734.000000,734.000000,0
1997-10-31,728.500000,728.500000,728.500000,728.500000,728.500000,0
1997-11-03,729.700012,729.700012,729.700012,729.700012,729.700012,0
1997-11-04,730.299988,730.299988,730.299988,730.299988,730.299988,0
1997-11-05,734.599976,734.599976,734.599976,734.599976,734.599976,0
1997-11-06,737.799988,737.799988,737.799988,737.799988,737.799988,0
1997-11-07,737.500000,737.500000,737.500000,737.500000,737.500000,0
1997-11-10,732.200012,732.200012,732.200012,732.200012,732.200012,0
1997-11-11,724.000000,724.000000,724.000000,724.000000,724.000000,0
1997-11-12,712.400024,712.400024,712.400024,712.400024,712.400024,0
1997-11-13,705.099976,705.099976,705.099976,705.099976,705.099976,0
1997-11-14,null,null,null,null,null,null
1997-11-17,696.500000,696.500000,696.500000,696.500000,696.500000,0
1997-11-18,681.299988,681.299988,681.299988,681.299988,681.299988,0
1997-11-19,684.799988,684.799988,684.799988,684.799988,684.799988,0
1997-11-20,686.099976,686.099976,686.099976,686.099976,686.099976,0
1997-11-21,680.099976,680.099976,680.099976,680.099976,680.099976,0
1997-11-24,678.099976,678.099976,678.099976,678.099976,678.099976,0
1997-11-25,670.400024,670.400024,670.400024,670.400024,670.400024,0
1997-11-26,666.099976,666.099976,666.099976,666.099976,666.099976,0
1997-11-28,671.400024,671.400024,671.400024,671.400024,671.400024,0
1997-12-01,676.000000,676.000000,676.000000,676.000000,676.000000,0
1997-12-02,675.200012,675.200012,675.200012,675.200012,675.200012,0
1997-12-03,676.900024,676.900024,676.900024,676.900024,676.900024,0
1997-12-04,676.099976,676.099976,676.099976,676.099976,676.099976,0
1997-12-05,678.799988,678.799988,678.799988,678.799988,678.799988,0
1997-12-08,680.200012,680.200012,680.200012,680.200012,680.200012,0
1997-12-09,685.700012,685.700012,685.700012,685.700012,685.700012,0
1997-12-10,698.200012,698.200012,698.200012,698.200012,698.200012,0
1997-12-11,701.099976,701.099976,701.099976,701.099976,701.099976,0
1997-12-12,700.799988,700.799988,700.799988,700.799988,700.799988,0
1997-12-15,700.000000,700.000000,700.000000,700.000000,700.000000,0
1997-12-16,692.700012,692.700012,692.700012,692.700012,692.700012,0
1997-12-17,690.599976,690.599976,690.599976,690.599976,690.599976,0
1997-12-18,688.700012,688.700012,688.700012,688.700012,688.700012,0
1997-12-19,687.900024,687.900024,687.900024,687.900024,687.900024,0
1997-12-22,688.400024,688.400024,688.400024,688.400024,688.400024,0
1997-12-23,688.299988,688.299988,688.299988,688.299988,688.299988,0
1997-12-24,693.799988,693.799988,693.799988,693.799988,693.799988,0
1997-12-26,null,null,null,null,null,null
1997-12-29,697.700012,697.700012,697.700012,697.700012,697.700012,0
1997-12-30,696.000000,696.000000,696.000000,696.000000,696.000000,0
1997-12-31,702.200012,702.200012,702.200012,702.200012,702.200012,0
1998-01-02,707.700012,707.700012,707.700012,707.700012,707.700012,0
1998-01-05,713.299988,713.299988,713.299988,713.299988,713.299988,0
1998-01-06,712.900024,712.900024,712.900024,712.900024,712.900024,0
1998-01-07,710.500000,710.500000,710.500000,710.500000,710.500000,0
1998-01-08,701.299988,701.299988,701.299988,701.299988,701.299988,0
1998-01-09,705.000000,705.000000,705.000000,705.000000,705.000000,0
1998-01-12,null,null,null,null,null,null
1998-01-13,699.200012,699.200012,699.200012,699.200012,699.200012,0
1998-01-14,null,null,null,null,null,null
1998-01-15,694.000000,694.000000,694.000000,694.000000,694.000000,0
1998-01-16,685.099976,685.099976,685.099976,685.099976,685.099976,0
1998-01-20,676.799988,676.799988,676.799988,676.799988,676.799988,0
1998-01-21,669.200012,669.200012,669.200012,669.200012,669.200012,0
1998-01-22,666.099976,666.099976,666.099976,666.099976,666.099976,0
1998-01-23,662.500000,662.500000,662.500000,662.500000,662.500000,0
1998-01-26,655.900024,655.900024,655.900024,655.900024,655.900024,0
1998-01-27,656.299988,656.299988,656.299988,656.299988,656.299988,0
1998-01-28,657.799988,657.799988,657.799988,657.799988,657.799988,0
1998-01-29,661.799988,661.799988,661.799988,661.799988,661.799988,0
1998-01-30,662.099976,662.099976,662.099976,662.099976,662.099976,0
1998-02-02,665.099976,665.099976,665.099976,665.099976,665.099976,0
1998-02-03,665.900024,665.900024,665.900024,665.900024,665.900024,0
1998-02-04,null,null,null,null,null,null
1998-02-05,null,null,null,null,null,null
1998-02-06,666.599976,666.599976,666.599976,666.599976,666.599976,0
1998-02-09,669.299988,669.299988,669.299988,669.299988,669.299988,0
1998-02-10,null,null,null,null,null,null
1998-02-11,668.700012,668.700012,668.700012,668.700012,668.700012,0
1998-02-12,672.500000,672.500000,672.500000,672.500000,672.500000,0
1998-02-13,679.900024,679.900024,679.900024,679.900024,679.900024,0
1998-02-17,684.599976,684.599976,684.599976,684.599976,684.599976,0
1998-02-18,690.000000,690.000000,690.000000,690.000000,690.000000,0
1998-02-19,698.400024,698.400024,698.400024,698.400024,698.400024,0
